question,subject,choices,answer,c,b,d,Ñ,_c,.c,ci,(c,a,e,_d,.d,<|end|>,Ð°,aa,.a,_a,(a,Ð´,g,f,h,.b,p,Ð±,Â­d,-d,bi,-a,-c,1,du,o,ac,an,co,(b,none,n,k,ab,de,4,l,_b,199,(d,bc,ca,feminist,the,feminism,investigations,femin,feminine,gender,Unnamed: 60,women's
Which of the following is not a purported limitation of the liberalist approach?,security_studies,"['Liberalism poses great difficulty in defining when the use of force would be justified or necessary.'
 'Liberalism is often internally inconsistent, limiting its applicability for use as a guide.'
 'A failure to address the importance of a wide range of actors in the decision-making processes of the international system.'
 'Liberalist influence merely reflects Western dominance, potentially undermining its relevance in the future.']",2,0.999999999872643,7.052879847548397e-11,4.2777878668074673e-11,1.4637785133862737e-12,,,,,1.0815941551820488e-11,1.2917800041332702e-12,,,2.244777053886707e-13,,,,,,,,2.5436656460916293e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these statements is not applicable to the development of peace studies in the twentieth century?,security_studies,"['Within peace studies, one of the later developments was a major interest in conflict prevention, conflict resolution, and peacekeeping.'
 ""At the height of the Cold War, peace studies was frequently labelled 'appeasement studies' and was bitterly opposed by critics.""
 'By the 1970s, prominent peace researchers were calling for a broadening in the remit of the field but were largely unsuccessful in their attempts.'
 'Peace studies sought to provide a more global and non-state centric view of major issues of conflict.']",2,0.9999999999949496,3.978962534644769e-12,4.19379565712269e-13,4.75219306134695e-13,4.4202281023164575e-14,4.4202281023164575e-14,,4.4202281023164575e-14,,,,,,,,,,,,,,,,,,,,,,4.4202281023164575e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the contemporary context, how can peace studies best be defined?",security_studies,"['Following the expansion of peace studies in the decline of the Cold War, the field has emerged as an independent and autonomous area of study that addresses issues surrounding conflict resolution, economic security and the cessation of violence at both an international and sub-national level. As a field of research, peace studies are best defined by their distinction from development studies and international relations.'
 ""Peace studies are best defined by its research agenda that focuses on the search for non-violent measures by which to end conflict. Peace researchers adopt a 'top-down' approach to conflict resolution that prioritises the issues surrounding violence and the use of force, focusing on instigating agents in an attempt to secure that actor as the referent object to security.""
 'Peace studies cannot be defined as a specific academic approach due to the shifting nature of its research agenda and the diversity of interests addressed by peace researchers. However, following the Cold War the success of the field has been such that it boasts a number of research institutes and attracts global and interdisciplinary attention.'
 'Peace studies is defined by a concern with the underlying causes of phenomena in IR, a global outlook, an interdisciplinary approach, the search for non-violent transformations, an analytical and normative approach, and the adoption of multi-level analysis that links theory and practice within research.']",3,1.3887943859376153e-11,5.789356326401281e-12,0.9999999999787182,,,,,,2.2447770541177797e-13,,7.83504178191193e-13,3.701011677103556e-13,1.0603575987257457e-13,,,,,,,,,,,,,1.2015425726937334e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What role does 'Information' play in the economic science of decision making?,security_studies,"[""Information is not important to decision making in economic theory; rather, it is an actor's perceptions of situations that will inform their decision making process.""
 'Information has no special significance to economic decision making, which is guided more by external forces that coerce actors than their own rational choices.'
 ""Information plays a significant role in decision making because, although theory asserts that actors act in their own best interest, 'rational action' depends on the information available to them at the time.""
 'Information has become an important resource in the 21st century and can be sold and traded as a market commodity.']",2,0.9999999999993934,2.882350793241811e-13,2.0879679114991875e-14,1.9810087979097509e-13,3.442477108228033e-14,1.6261110445035328e-14,,1.84262521459406e-14,,,,,,,,,,,,,,,,,,,,,,3.0379753852296145e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following are frequently cited criticisms of HM?,security_studies,"['HM pays insufficient attention to the role of the labourer, instead focusing on the capitalist as the source of power and most important actor. HM can also allude to capitalist power structures, to the detriment of supporting the human security of workers.'
 'HM too often accuses capitalism of acting solely in self-serving ways, and explains everything in terms of class struggle, to the detriment of wider analysis. Some versions of HM claim to have uncovered objective laws of history which are widely disputed in their accuracy.'
 'HM is inevitably reductionist and oversimplifies the complexities of capitalism, recognising only its negative aspects and harmful effects.'
 'All of these options.']",1,3.701011677936842e-13,6.914400105714951e-13,0.999999999998547,,,,,,6.431393940312338e-14,1.4350379598795332e-14,1.981008797697939e-13,9.357622967181977e-14,,,,,,,,,,,,,,2.0879679112759395e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the referent object in contemporary cyber-security?,security_studies,"['Digitalised sensitive information'
 'Critical Information Infrastructures' 'Government IT systems'
 'Telecommunication networks']",1,1.2751842083721057e-07,0.999995085884058,1.2501453584547839e-09,,,,,,4.785093439665822e-06,1.6918877617341488e-10,,,,,,,,,,2.940060082320901e-11,2.940060082320901e-11,,,,,,,,,,,,,,,,,,,,,,,2.594593916060806e-11,,,,,,,,,,,,,,
Which of the following phrases is not likely to indicate legitimacy in the new terminology of RMA?,security_studies,"['Surgical strike.' 'Indiscriminate attack.' 'Smart bomb.'
 'Precision target.']",1,2.8823507930612423e-13,0.9999999999996204,3.9008376096621846e-14,,,,,,5.9821282229719415e-15,,,,,,,,,,,,1.435037959943069e-14,,8.703945205569413e-15,,1.435037959943069e-14,,,8.703945205569413e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following did not emerge as a trend of the defence trade in the 20th century?,security_studies,"['The arms trade shifts from being a private to a government controlled enterprise.'
 'An increase in the defence trade.' 'A decrease in the arms trade.'
 'A growth in the number and variety of weapons traded.']",2,0.9999999999985943,7.835041783371863e-13,,2.244777054536057e-13,3.900837609338056e-14,8.25807328377201e-14,3.900837609338056e-14,1.5428112028586098e-13,,,,,,,,,,,,,,,,,,,,,,8.25807328377201e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these statements concerning the study of identity is not applicable to social constructivism?,security_studies,"['Identity defines actors, and tells us who they are, what their preferences and interests are, and how those preferences might inform their actions.'
 'Identity is of fundamental importance to the social constructivist perspective because it is the basest principle in defining behaviour; it is a naturally bestowed quality comprised of certain unalterable behavioural characteristics.'
 'The identities, interests and behaviour of political agents are socially constructed by shared ideas, collective meaning, and interpretations and assumptions about the world.'
 'Actors form their identity through interaction, which in turn defines the types of relationship formed between these actors.']",1,9.357622968082584e-14,0.9999999999998476,3.442477108191274e-14,,,,,,3.202002498378133e-15,,,,,,,,,,,,1.2664165548068884e-14,,1.942112687742789e-15,2.200701987797198e-15,4.658886144726215e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these are characteristics of realist theory?,security_studies,"['The international system is anarchic.'
 'States assess one another in terms of their power and capabilities rather than their internal variations.'
 'States are unitary and rational actors; sovereign states will act in a way suited to achieving their goals.'
 'All of these options.']",3,8.25807328518535e-14,2.244777054920243e-13,0.9999999999995628,,,,,,8.703945206335834e-15,,5.675685232378034e-14,4.4202281034428215e-14,,,,,,,7.681204684857412e-15,,,,,,,1.2664165548525888e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these statements defines the Copenhagen School's view of security?,security_studies,"['Security is a socially constructed concept, relative to the society in which it exists, and what will constitute an existential threat is accordingly subjective.'
 'Security is best defined using the traditional paradigm, with the state as the referent object to be secured using extraordinary measures where possible.'
 'To best understand security one must adopt a constructivist approach, threats exist only when articulated by a wider audience and may warrant the implementation of emergency measures.'
 'Security exists as an empirically verifiable and independent condition that changes only slightly, if at all, with regards to the social context in which it is applied.']",0,,1.361526107898241e-13,,,,,,,0.9999999999728476,,,,2.8823507930391663e-13,2.5946094979116978e-11,5.384940216996984e-13,1.060357599003312e-13,6.43139394054783e-14,7.287724094795132e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these best describes the concept of hegemonic masculinity?,security_studies,"['The inherent promotion of feminine characteristics in society.'
 ""Social dominance of men over women that results from the designation of 'masculine' characteristics as more valued than 'feminine' characteristics.""
 'All of these options.'
 'The acknowledgement that gender identity exists in many forms and is not binary.']",1,5.0087746376626215e-14,0.9999999999998476,2.3659776090493175e-14,,,,,,,,,,,,,,,,,,4.420228103481543e-14,,4.658886144935149e-15,4.111452592399554e-15,1.4350379600820016e-14,,,1.1176086870490544e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How do institutional constraints affect behaviour?,security_studies,"['Institutional constraints limit the amount of resources to be spent on some good and force actors to choose how to manage the limited wealth available to them.'
 ""Institutions are the social norms and expectations that affect an actor's goals and ambitions.""
 'Institutional constraints refer to tools of the state such as schools, prisons, and hospitals; the provision of resources for these institutions makes demands on political leaders.'
 'Institutions are humanly devised constrains that structure human interaction, they are man-made rules that guide decision making and govern behaviour.']",3,5.109089025932462e-12,1.5737102100299378e-11,0.999999999967048,,,,,,1.0815941552774656e-11,7.287724092780178e-14,6.914400104056393e-13,4.193795656630426e-13,1.0603575987101381e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following policies is not true of economic policy?,security_studies,"['Economic policies must take into account the incentives of not only the leaders, but the populations intended to influence.'
 'Policymakers can incentivize security-promoting behaviours in others through the use of sanctions and aid.'
 'Trade policies can entice leaders to change behaviours in exchange for access to markets or trade preferences, and advance security.'
 'Concern with poverty is a humanitarian issue that has no direct link to economic science, although it might be alleviated through aid.']",3,1.2015425730123837e-13,1.981008797777279e-13,0.9999999999993364,,,,,,,7.681204684148597e-15,1.542811202980287e-13,1.3615261079029166e-13,,,,,,,1.266416554735725e-14,,,,,,,3.4424771079978315e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not an assertion made in the realist case against humanitarian inventions?,security_studies,"['Armed force should only ever be used in the national interest and that humanitarian intervention is therefore imprudent.'
 'Foreign intervention reduces the proportion of wars that end in outright victory, it leaves behind an unstable peace that is likely to reignite.'
 'Foreign intervention tends to prolong wars; it is inappropriate and does not work.'
 'Humanitarian intervention prioritises the human as the referent object of security, undermining the state-centric approach of realism.']",3,1.879528815488644e-12,1.2917800040640401e-12,0.99999999999629,,,,,,5.008774635044178e-14,5.008774635044178e-14,2.2447770537664026e-13,1.7482341272939957e-13,,,,,,,3.900837608000596e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Why, in the contemporary studies of security, is the subject of energy security so important?",security_studies,"['There exists an array of contemporary challenges to energy security, ranging from resource scarcity concerns to dangers of political instability.'
 'The existence of reliable supplies of energy determines the ability of a nation to achieve economic development.'
 'Energy security encompasses a broad range of issues that are both contemporary and fundamental to security, ranging from the local and individual to the global scale.'
 'All of these options.']",3,4.193795657796948e-13,5.384940217005967e-13,0.999999999998636,,,,,,6.43139394055856e-14,,1.7482341280281945e-13,1.3615261079005124e-13,1.2664165547334886e-14,,,,,,1.8426252144675875e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is a legitimate threat to societal security?,security_studies,"['Political policies designed to alter demographic characteristics of a state.'
 'All of these options.'
 'Legislation that criminalises certain cultural behaviours or practice.'
 'The use of military force to conduct ethnic-cleansing through displacement and killing.']",1,1.006039279054647e-12,0.9999999999983702,2.2447770545107425e-13,,,,,,2.2447770545107425e-13,,,,,,,,,,,,5.6756852313426556e-14,,6.431393939990161e-14,,3.9008376092940655e-14,,,1.4350379598076462e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements best describes the orientation of military security within the traditional conception of security studies?,security_studies,"['Strategic studies are the central concern of international relations, within strategic studies, the subset of security studies focuses on military security.'
 'Military security is a central concern within international relations and dominates the scholarship. Within international relations, strategic studies form a subset of academic interest, within which security studies feature occasionally.'
 'Strategic studies are best conceptualized as a subset of international relations, and within strategic studies, military security is one of the dominant concerns. Security studies are a subset of strategic studies.'
 'Military security is the central concern of strategic studies; and strategic studies are a subset of security studies. Military security is one of the central concerns of security studies, and security studies is a subset of international relations.']",3,0.9999999999977108,1.8795288164794144e-12,3.037975385346682e-14,2.882350793352882e-13,3.037975385346682e-14,,,1.8426252146650652e-14,1.8426252146650652e-14,,,,2.365977609059649e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these statements cannot be applied to the initial development of peace studies?,security_studies,"['Mathematicians and natural scientists entered the field, which was otherwise a social-sciences area of study, adding to the interdisciplinary nature of the field.'
 'Now of fundamental importance to peace studies as a field of research, the creation of journals was not a prominent feature of the peace studies until late in the twentieth century.'
 'Most early work was carried out in North America and Scandinavia.'
 'The establishment of research institutes across the world has been one of the lasting successes of peace studies.']",1,2.5946094932249296e-11,7.991959877394104e-11,0.9999999998755368,,,,,,1.5737102076223782e-11,6.101936665725248e-13,1.291780002270984e-12,7.83504176981007e-13,,,,,,,1.748234124867358e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Since the end of the Cold War, how has the use of coercive diplomacy by Western powers changed?",security_studies,"['Coercive diplomacy has proven a successful policy tool and one that is integral to conflict management. The successes of the past policy initiatives in the post-9/11 community have reinforced the trend toward coercive diplomacy by increasing American political will to counter mass casualty terrorism in failing states.'
 'The favourable geo-political environment, characterized by an overwhelmingly Western military superiority and a low risk of hostile great power intervention, has generated pressures and incentives for Western policymakers to promote their policy agenda, and to manage armed conflicts from weak states and failing states.'
 'The demise of the ideological bipolar division of international society in the Cold War, rather than resulting in a reduction of hostilities, has left an unstable legacy where a policy of force and mass retaliation continues to pose a very real threat. Risk of uncontrollable escalation still remains but in a different form; mass casualty terrorism, contagion from failing states and non-state actors seeking to acquire WMD are the primary concern of states and require responses in the form of military intervention.'
 'The hostile geopolitical environment has encouraged states to pursue military strategies in order to secure their interests. The use of violence rather than diplomacy or incentives has become the primary response to threats, whether these are posed by other states, resource scarcity, pandemic diseases, or other non-traditional threats.']",1,0.9999999999908834,8.423463753357094e-12,1.9810087977875678e-13,2.882350793064035e-13,2.365977608822549e-14,2.365977608822549e-14,,3.9008376096659636e-14,,,,,1.2015425730186244e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To what extent and to what effect has the environment been securitized?,security_studies,"['The securitization of environmental security concerns has raised the profile of environmental security issues among both foreign and domestic security policymakers and agencies. It is now uniformly recognized that environmental change can be considered as an issue of high security politics.'
 ""Environmental security has led to a 'trading off' of military security for environmental security with the allocation of resources committed to solving environmental problems. A particular emphasis has been placed on environmental change as the cause of violent conflict and addressing environmental threats from other factors than domestic causes.""
 ""The environment has been 'securitized' in the sense that environmental security has been used to make them matters of 'high politics'. This has to some degree raised the profile of critical issues among policymakers and agencies so that the environment can be considered an issue of security. But whilst the issue has been broadened there has been little change in policy and action in terms of the referent object of environmental security.""
 ""The national security perspective on environmental issues has undermined the utility of the concept of environmental security. The militarization of environmental problems has decreased the ability of policymakers to 'capture' the critical nature of environmental problems and the environmental dimensions to social vulnerability. The reconciliation of environmental security with national security, and global levels of international change cannot be made without trading in the security interests of the state.""]",2,0.9999999999960902,2.7346982914961825e-12,1.7482341282098832e-13,7.835041784790227e-13,3.0379753853368244e-14,,,5.00877463766824e-14,,,,,1.3615261080420116e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not a common criticism of Securitization?,security_studies,"['A loose and broad conceptualization of security can lead to vagueness and a lack of conceptual and analytical coherence.'
 'When the securitizing actor is not the state, it can be unclear what would constitute an extraordinary measure.'
 'The model relies on a definition of distinctive political and security realms, which are not always clearly defined.'
 'The theory of securitization lacks coherence in terms of its employment as a tool for analytical studies in security.']",3,5.4927883442840315e-11,2.594609495125474e-11,0.9999999999084914,,,,,,8.423463744238872e-12,8.878265467677555e-13,6.101936670194899e-13,5.384940211214359e-13,1.748234126147935e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Which of these statements characterizes the traditional concept of national security, as opposed to human security?",security_studies,"['All of these options.'
 'In the national security approach, real threats are only those posed to human life, human rights, or human dignity.'
 'The traditional interpretations of security and threats are important boundaries that define human security.'
 'The concept of national security is too narrow to be useful when analysing the broad threats that currently exist.']",3,6.540586171272041e-05,7.411455102127191e-05,0.9901528530308786,,,,,,0.0097072936770919,3.028892302883218e-07,,,,,,,,,,2.9990065057462666e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does Buzan's concept of 'societal security' mark a departure from traditional understandings of security?,security_studies,"['Securing the sustainable development of the state was dependent on societal security as an independent interest that was not secondary or dependent on the other sectors, including the military.'
 'The end of the Cold War allowed security studies to move beyond the confines of the dominant realist and neorealist perspectives, with an emerging interest in other, non-military, conceptions of security. Those who wished to broaden the scope of security studies advocated the inclusion of resource, environment, and other referent points for analysis.'
 'Societal security referred to the sustainable development of traditional patterns of military capabilities. Military threats could be subdivided to include the infrastructural strength, the technology, personnel, the economic base and the political base of the military security sector.'
 'Contemporary processes of globalization and societal conflict required the development of new conceptual tools beyond the state as the referent object. Security was dependent on factors beyond geographically conceived survival: survival of the state was superseded by survival of the nation (ethnic) state.']",1,4.363461750487802e-09,0.9999999096553224,3.224186365989251e-08,,,,,,5.315784642307826e-08,3.581747517842263e-10,,,,,,,,,,7.052879038967839e-11,9.056075946858916e-11,,,6.224143906192935e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following conditions does not constitute 'human security'?,security_studies,"['A condition where people are given relief from the traumas that afflict human development, are safe from threats and are protected from hurtful disruptions to their daily lives.'
 'A condition in which every citizen is free from the threat of physical violence, regardless of their race, ethnicity or other identity.'
 'A condition where people are guaranteed the ability to live and develop, free from political oppression or prejudice, safe from threats posed by their own or external state actors.'
 'A condition where people exist independently of state support, where human life is self-sufficient in that individuals do not require the assistance of state apparatus in order to live securely.']",3,1.5428112029527384e-13,1.9810087977419057e-13,0.9999999999994096,,,,,,,1.1176086869161761e-14,9.35762296738966e-14,9.35762296738966e-14,,,,,,,1.6261110443657573e-14,,,,,,,2.365977608768014e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What are the effects of nuclear weapons?,security_studies,"['A nuclear blast produces EMP, a thermal light pulse, blast, and fallout at the moment of detonation. The electro-magnetic pulse occurs when gamma radiation interacts with matter (the atmosphere), ""the Compton effect."" EMP produces a high voltage charge, harmless to humans but destructive to electronic systems. EMP effects are maximized at high altitude. However thermal-light pulse can produce flash blindness, retinal burn, and fire whilst the airburst can cause severe skin burns.'
 'A nuclear detonation produces a shockwave resulting from a rise in atmospheric pressure and dynamic overpressure sufficient to destroy concrete structures. Blast effects were generally used by military planners to calculate casualty rates in a nuclear attack: It was estimated that 50 percent living in a five mile radius of a one-mgt airburst would be killed or wounded by blast effects.'
 'Nuclear reactions in the initial nuclear detonation or the fallout can cause radiation poisoning, as irradiated debris is picked up by the nuclear fireball and lofted into the atmosphere. A dirty bomb uses chemical high-explosive to disperse radioactive material, relying on radiation to produce a lethal effect. Panic set off by even a limited dispersion of radioactive material might be more costly in terms of the disruption it causes than actual casualties or damage to property produced by a dirty bomb detonation; some observers believe that the blast itself causes the greatest amount of damage.'
 'All of the above']",3,7.287724095480482e-14,4.752193062549959e-13,0.9999999999993312,,,,,,1.1176086870373954e-14,,6.431393941152648e-14,2.6810038676570144e-14,,,,,,,4.111452592356663e-15,,,,,,,1.4350379600670312e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which statement best describes commercial liberalism?,security_studies,"['Commercial liberalism is the newest and most important faction of liberalism; it advocates socialist economic principles in order to address inequalities in the distribution of wealth that threaten societal and regime security.'
 'Commercial liberalism is based on the idea that free-trade directly undermines the power of the state, and argues that the market should be regulated where possible by state actors. One flaw of commercial liberalism is that it reduces cooperation and can thus increase conflict between states.'
 'Commercial liberalism is probably the oldest faction of liberalism; advocating free trade as the free movement of goods and capital, it purports that the most rapid and efficient production of wealth occurs when governments do not restrict the economic activity of private actors and the free market.'
 'Commercial liberalism advocates the restraint of private enterprise and non-governmental activity in the economic sphere, arguing that interference will hinder economic prosperity.']",2,0.9999999999993784,4.1937956582224933e-13,1.4350379600800862e-14,1.2015425731321828e-13,2.0879679115677424e-14,1.4350379600800862e-14,1.6261110445569235e-14,,,,,,,,,,,,,,,,,,,,,,,1.6261110445569235e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security studies can be interpreted as an imperial field of knowledge in which of the following ways?,security_studies,"['Security studies emerged in relation to the interests of the USA and Britain following the Second World War.'
 ""Security studies adopts a perspective which postcolonial scholars refer to as 'the colonizer's view of the world'.""
 'Security studies was originally defined by the power of the USA and Britain at a time when they actively supported colonial and imperial relations in the global south.'
 'All of these options.']",3,1.006039279151804e-12,8.878265477299061e-13,0.999999999997815,,,,,,,,1.7482341280425217e-13,8.258073284476396e-14,,,,,,,9.862862045291143e-15,,,,,,,1.4350379599462332e-14,9.862862045291143e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do critics fear would be the result of granting rights of humanitarian intervention?,security_studies,"['An abuse of this power in order to wage state-interested wars.'
 'A depletion of military resources pursuing wars on ethical grounds, leading to a loss of military security.'
 ""Whilst some states have proven their ability to conduct 'just' wars in order to protect sound values of democracy and neoliberalism, not all states would use force to pursue such globally beneficial ends.""
 'A lack of implementation of these rights by state actors, leading to a failure to address human rights abuses.']",0,,6.914400105489527e-13,,,,,,,0.999999999964738,,,,3.266131342102197e-13,3.3315445414674373e-11,2.882350792839656e-13,2.882350792839656e-13,1.9810087976333542e-13,,,,,,,,,,,,,,,,,,1.542811202868198e-13,,,,,,,,,,,,,,,,,,,,,,,
"In what ways did the Human Development Report, published by the United Nations Development Program in 1994, challenge the traditional security paradigm?",security_studies,"['The report outlined seven areas or components of human security that policymakers should henceforth devote greater political attention and capital to: economic security, food security, health security, environmental security, personal security, community security, and political security.'
 'The report highlighted the considerable burden that infectious diseases continue to pose in the developing world-including HIV/AIDS, tuberculosis, and malaria.'
 'The report advocates a framework of human security analysis that aims to redress the perceived imbalance in security thinking that has been predominant in traditional security studies.'
 'All of these options.']",3,2.8823507932471625e-13,7.835041784528276e-13,0.999999999995946,,,,,,2.734698291404753e-12,2.3659776089728693e-14,1.201542573094963e-13,9.357622968199881e-14,,,,,,,9.862862045905584e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How might we understand the terms gender and gender security?,security_studies,"['Gender security is essentially an extension of the way in which we conceptualize the international political system. The analysis of gender security relations has only been made possible by the expansion of the traditional military definition of security in which national security in anarchical international society was the exclusive province of the male.'
 'To study gender security is to focus on the role of adult women in modern warfare, including industries related to warfare, and their inclusion or exclusion from combat roles.'
 'The issue of gender and security is understood as the practical conceptualization of ways in which women have a role in security related issues, and their relative inclusion and exclusion in military conflict and militarization.'
 ""The study of gender and of gender security issues is a complex task, and both terms elude a uniform definition. The concept of gender security broadens terms of security beyond the military sector to also include 'human security'.""]",3,1.691897921023637e-10,1.573710209205971e-11,0.9999999998084228,,,,,,3.511422110073473e-12,3.701011675111295e-13,1.6586783573539862e-12,7.835041777694314e-13,3.2661313397151433e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Which of the following best describes what is meant by security in the contemporary world, according to the field of Security Studies?",security_studies,"[""'A nation is secure to the extent to which it is not in danger of having to sacrifice core values if it wishes to avoid war, and is able, if challenged, to maintain them by victory in such a war.' Lippman, W.""
 ""'Security itself is a relative freedom from war, coupled with a relatively high expectation that defeat will not be a consequence of any war that should occur.' Bellamy, M.""
 ""'Emancipation is the freeing of people (as individuals and groups) from the physical and human constraints which stop them carrying out what they would freely choose to do . . . Security and emancipation are two sides of the same coin. Emancipation, not power or order, produces true security. Emancipation, theoretically, is security.' Booth, K.""
 'None of the above']",3,0.9999999999969292,2.7346982913836868e-12,9.357622968127797e-14,1.2015425730857074e-13,4.4202281033046686e-14,3.0379753852118525e-14,,,,,,,2.0879679114869804e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6810038675777036e-14,,,,,,,,,,,,,,,,,,
Which of these is an effective way of securing against cyber threats?,security_studies,"['Complete eradication of threats.'
 'Ensure that the severity of cyber war as a threat is recognised, and that instances of cyber warfare are identified, publicised, and acted upon immediately.'
 'All of these options.'
 'Acceptance that there can be no absolute security, instead design resilient IT systems and build international cooperation and information exchange in order to reduce threat and increase resilience.']",3,1.9171715116126923e-10,1.3176514255348852e-10,0.9999999996724124,,,,,,2.543665644530156e-13,3.266131339132127e-13,1.1399918517685232e-12,2.129785168572217e-12,,,,,,,,,,,,,,,,,,,,2.543665644530156e-13,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following are trends to emerge in the global defence trade since the end of the Cold War?,security_studies,"['A growing effort by governments to prevent the spread of weapons, especially of WMDs.'
 'A growth in volume of the arms trade.'
 'A change in the nature of the defence trade, linked to the changing nature of conflict.'
 'All of these options.']",3,7.28772409539389e-14,2.244777054889818e-13,0.9999999999995994,,,,,,4.658886144831192e-15,,5.0087746375508576e-14,3.0379753852656275e-14,,,,,,,6.7786393424130736e-15,,,,,,,1.1176086870241165e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In theorising the Responsibility to Protect, fundamental questions are raised about the nature of state sovereignty. Regarding this tension between R2P and notions of sovereignty, which of the following is not an accurate statement?",security_studies,"['In order to legitimise the inter-state interventions required by R2P, Westphalian notions of sovereignty are invoked, specifically the idea that intervention is required to assure international security.'
 'In order to transcend the intervention-vs.-sovereignty debate, R2P seeks a new definition of sovereignty.'
 'In order to facilitate the deployment of effective humanitarian intervention, the R2P approach redefines the traditional Westphalian conception of sovereignty.'
 'The notion conceptualised by the R2P approach is of a sovereignty that is intrinsically linked with responsibilities and the duty to protect the interests of citizens.']",0,4.4508483086581533e-07,3.927859846264706e-07,2.382367423813695e-07,,,,,,0.999998904518438,6.348787788026404e-09,,,7.582545704194944e-10,1.186109711957539e-08,,,,,,,4.0586442454379185e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what ways might international measures be employed? Are they a help or a hindrance?,security_studies,"[""Diplomacy cannot achieve agreements among small groups of nations where global agreements have failed. Global endorsement is required to legitimize the process, providing greater cooperation, agreements and great power backing. Failure to attain global consensus on what terrorism is will result in disparities between states' counterterrorism methods which will severely reduce the scope of employing multi-level measures in a consistent and cohesive fashion, and may afford some terrorist groups the opportunity to seek refuge in states whose domestic laws are weaker.""
 'A great deal of international diplomacy has involved attempts to define terrorism so that all countries could take steps to eradicate it. However, these efforts have largely faltered: countries often support or sympathize with dissidents who use violence against repressive governments; governments in developing countries have wanted to avoid anti-colonial struggles being labelled as terrorism; and countries want to retain a degree of flexibility regarding extradition and punishment of political dissidents.'
 'Intelligence agencies are highly centralized, organized structures that operate at a maximum functional level within their domestic context. There is no reason to presume that collaboration would enhance their ability to contribute to the prevention of terrorism. The multi-agency approach would also broaden the scope for potential errors, miscommunication, and intelligence failures.'
 'Multi-partner initiatives to support the reforms necessary for the prevention of terrorism have proved ineffective. Sanctions against countries that provide a territorial base for terrorism may be misplaced, having negligible effects on the terrorist organizations themselves.']",1,1.7257791811053e-08,2.5612808405308287e-06,1.7257791811053e-08,,,,,,0.999997387699324,3.8507338506085175e-09,,,,8.152003625709219e-09,1.1032537196312507e-09,,,,,,,,,,,,,,,,,,,,,,,,,,3.3982606958396683e-09,,,,,,,,,,,,,,,,,
