question,subject,choices,answer,c,с,d,b,<|end|>,s,​,ch,a,а,ab,none,ai,an,aa,д,all,t,​​,б,,solution,cc,...,e,no,invalid,the,error,not,bb,option,n,bc,cb,abc,ac,ap,199,4,x,ɑ,­a,co,h,cd,identity,dipl,p,y,ad,‌,critical,ind,ci,f,.d,198,',**,k,abcd,abd,mal,any,3,goals,g
"To what extent is TNC linked with terrorism, and in what ways?",security_studies,"['There is growing evidence of direct partnerships between terrorist groups and transnational criminal organization resulting from the end of the Cold War and the need to secure new forms of financial sponsorship. For most terrorist groups criminal activity has been amongst the most important sources of funds with the diffusion of terrorist networks globally operating in correlation to the diffusion of illicit market activities.'
 'The nexus between terrorist groups and criminal organizations are generally a temporary aberration. Differential long-term strategic goals meant that levels of cooperation were generally tactical temporary alliances that would have little pervasive effects.'
 'There is increasing evidence over the convergence of terrorism and transnational crime, but there is no consensus about whether this phenomenon is a long-term strategic alliance or episodic ""marriages of convenience"".'
 'All of these options.']",2,5.905303993908086e-10,,0.9999999992410228,2.940077736777219e-11,6.224144617599927e-11,,1.2917800036843858e-12,,7.052879845097572e-11,,,,,,,4.508755238449827e-12,,4.752193058718555e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which statement best describes the relationship between realist international relations theorists and peace researchers in the early 1960s?,security_studies,"['Both peace researchers and realists advocated an academic focus on the escalation of the arms race. Although tensions existed between the groups in terms of their proposed solutions to this crisis, there existed a consensus that the Soviet bloc should be eliminated as a nuclear threat, thus favouring the survival of Western liberal democracies.'
 'In contrast to the realist school, peace researchers looked beyond the accumulation of nuclear weapons for a focus to their studies; this resulted in tensions between the two groups, with the former believing that the attainment of superior military strength was paramount to achieving security.'
 'Whilst peace researchers indentified the escalation of the arms race as a result of failures by the League of Nations, realist scholars deemed it to be the natural progression of ideological differences between the Soviet bloc and Western liberal democracies. This resulted in irreconcilable differences between the study agendas of realists and peace researchers.'
 'The East-West divide of the Cold War gave rise to a sharp divide between realists and early peace studies theorists. Whilst realists wished to focus research on that which would favour the survival of Western liberal democracies, advocates of peace studies regarded this approach as being narrow and Western ethnocentric.']",3,1.1032559710188965e-09,,0.9999999449843527,5.3157849589456746e-08,5.211412198211369e-10,,1.5737101232113642e-11,,1.6918978285707223e-10,,,,,,,4.847368436828515e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is an important outcome of the 'energy security nexus'?,security_studies,"['Attempts to exert control over energy reserves in the South have consequences for the sustainability of cooperation between core powers; the emergence of geopolitical rivalries over this form of control has implications for international security.'
 'All of these options.'
 'United by common insecurities concerning the production and supply of energy resources, international actors are forced into negotiation and cooperation between states increases.'
 ""By virtue of their energy resources to which the global 'North' desires access, states in the 'South' gain power in the international arena and have redressed the global North-South divide and associated inequalities.""]",0,1.4637785138192317e-12,,3.5114221126408315e-12,0.9999999998988827,4.508755241350193e-12,,3.2661313421031583e-13,,9.056076987775523e-11,,,,,,,,1.3615261078043996e-13,,,6.101936676326904e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what ways did strategic circumstances have an effect on environmental security perspectives?,security_studies,"['The end of the Cold War created the space for security policy and security studies to be re-considered in light of growing environmental consciousness underlined by multilateralism in policy action.'
 'In 1973 the Organization of Petroleum Exporting Countries (OPEC) restricted oil supplies which underlined the industrial capacity of the military leaving a profound psychological impact requiring that security be linked to national interests: the securing of energy deals and the environment became related to military capability diplomacy.'
 'Ideologically driven military security was replaced by a need to preserve territorial integrity in wake of the collapse of communism. Military security was a high priority given the threat of spill-over. The environment remained a peripheral concern to the security institutions occupied with the new security environment post-Cold War.'
 'The end of the Cold War order created the intellectual space for the broadening of security issues beyond Cold War military mentalities. Research among political and environmental scientists discussed ways in which new security issues could be addressed. The plethora of publications produced, however, had little effect on policy.']",0,6.224145076381036e-11,,2.3823698410744117e-07,6.691586578822476e-10,1.5737103253422843e-11,,,,0.9999997607571662,2.4616971311675357e-10,,,,,7.433681213948756e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.10908940029684e-12,,,,,,,,,,,,,,,,,
The following statements define the conceptualization of 'class' within HM; which is incorrect?,security_studies,"['All advocates of HM accept that social class is important.'
 'Within the HM paradigm, the only form of class that matters is social class.'
 'The focus of HM lies predominantly on class and class in relation to capital.'
 'HM regards class as being far more complex than a simple division between a capitalist ruling class and working class.']",1,2.2897348372784027e-11,,2.940077728540839e-11,0.9999999997506291,7.052879825339523e-11,,5.10908900939369e-12,,1.0261879594202925e-10,,,,,,,,,,,1.2256067399313356e-11,,,,,,,,,,,6.560200144181492e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following security sectors are intrinsically linked with energy security?,security_studies,"['Economic and development security.' 'Regime and international security.'
 'Environmental and human security.' 'All of these options.']",3,2.646573626544134e-09,,0.999999996617636,1.0261879583757648e-10,1.6918979147104612e-10,,5.4927883252919795e-11,,3.160881439545826e-10,,,,,,,7.991959855614918e-11,,,1.3046515821413205e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the relationship between HM and realism?,security_studies,"['Both HM and realism are based on the notion that there exist within society certain discernable realities.'
 'HM has some aspects in common with realism, liberalism, and social constructivism, but it offers something distinctive in having class conflict within capitalism as its central focus.'
 'Whilst HM recognises the importance of the state as an actor within the international system, it also purports that states prioritize the interests of the ruling-class elite.'
 'All of the above']",3,6.691586064478058e-10,,0.9999999960822348,3.5817479159302935e-10,2.172439926373551e-10,,5.438596938697733e-12,,2.646573628303688e-09,,,,,,,5.438596938697733e-12,1.5737102043800716e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What factors enabled the expansion of transnational crime (TNC) in the 1990s?,security_studies,"['Transnational crime developed as a result of the declining expenditure on defence and the standing down of armies, which reduced the risk of activities.'
 'TNC as a concept emerged in the academic sphere as linked to human security concerns and developmental opportunities in weak states as a means of conflict resolution and peace building in Europe.'
 'Transnational criminal activities have always been a feature of the international system. In the policy community, the growth of interest in TNC is due to the increasing sophistication of intelligence and communications technology, which has enabled the true representation of the scale and the scope of the problem to be known.'
 'International trends such as globalization may have had the unintentional consequence of opening up new spaces for the development of transnational crime.']",3,9.736200293236156e-10,,0.9999999987074687,7.05287983678835e-11,1.4930946731648135e-10,,2.2897348409952925e-11,,3.7751345366121144e-11,,,,,,,3.3315445354003235e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.109089017687192e-12,,,,,,,,,,,,,,,,
Why do so many feminist scholars regard the exclusion of women from the military sphere or from armed combat as important?,security_studies,"['Veterans of armed conflict may be rewarded by gaining powerful offices, often in political positions and in state institutions.'
 'Participation in military activity is often regarded as a sign of strength, patriotism and courage.'
 ""The foundations for decisions not to allow female participation are commonly based on arbitrary and discriminatory rationale that can limit women's participation in civil society in other ways.""
 'All of these options.']",3,4.847368705546875e-11,,0.9999999998897143,7.433680671242849e-12,1.7832472905485223e-11,,1.2917800045932218e-12,,3.3315445416692403e-11,,,,,,,1.463778513907467e-12,,,4.752193062061976e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the context of energy security and the production of oil, which of the following does not define the term 'stability'?",security_studies,"['The absence of challenges to the regime of oil-producing states.'
 'A political and economic situation in which the status quo of production, exportation and supply is maintained.'
 'The promotion of human security and the affiliated environmental security as a priority within oil-producing states.'
 ""The security of regimes deemed 'friendly' by North American, European, and international oil company interests.""]",2,0.9999999992317338,6.691586085372246e-10,6.224144617400826e-11,1.7832472892368694e-11,1.0815941547716039e-11,,3.978962532316761e-12,,3.0988191359800736e-12,,,,,,,,,,1.1399918520357211e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In what ways is the case for humanitarian intervention, as outlined in this chapter, limited?",security_studies,"['It is not self-evident that individuals do have universal and fundamental human rights.'
 'Advocates of humanitarian intervention exaggerate the extent of global consensus about the use of force to protect human rights.'
 'Any norm endorsing the use of force to protect individual rights could be abused by powerful states.'
 'All of these options.']",3,1.9171715128775308e-10,,0.9999999996063268,3.331544540635844e-11,7.052879847871948e-11,,1.6586783581522062e-12,,9.056076985512352e-11,,,,,,,5.109089025716123e-12,,7.835041781464838e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is not applicable to the Securitization process?,security_studies,"['Securitization reveals the power of the securitizing actor.'
 'Where the securitizing actor is a democratic state, the relevant audience is usually the wider population who have the right to reject the speech act.'
 'The adoption of extraordinary measures can retrospectively convince an audience of the existential threat.'
 'Within authoritarian and other undemocratic regimes, the relevant political decision-making is often dominated by the military and political elite.']",2,0.999999999703146,9.0560769867151e-11,9.545034919723164e-12,1.9171715131321525e-10,3.978962534537687e-12,,2.244777054287817e-13,,6.914400104681919e-13,,,,,,,,,,,,,,,,1.3615261076449715e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"During the 20th century, how has the focus of security studies changed regarding military security?",security_studies,"['Security studies has always favoured a wide range of subjects when considering the field of security. Different types of security, most notably of human security and economic security, have enjoyed a great deal of attention in traditional security studies, alongside military security. After the Cold War this approach was broadened to include other types of security such as environmental and personal security.'
 'Military security has emerged since the Cold War as the dominant sector within security analysis; both scholars and practitioners recognise the paramount importance of pursuing military security, based on the idea that military capabilities pose the greatest threat to human and state survival.'
 'Prior to the Cold War the focus of security studies lay in the military sector, although environmental security was rapidly emerging as a serious threat to security, forcing analysts to reconsider the state-centric frameworks they had previously employed.'
 'During the Cold War most security analysts agreed that military security should be the focus of security studies; as a result, there was not much discussion about what security entailed, other than the military sector. Following this period security studies have been broadened to include the wider range of sectors that we see today, including environmental and political security.']",3,2.7894680879010485e-10,,0.9999999994001205,7.991959878720728e-11,1.4930946735380516e-10,,3.33154453623313e-11,,2.289734841567672e-11,,,,,,,2.5946094936556222e-11,,,9.545034905841491e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not a purported limitation of the liberalist approach?,security_studies,"['Liberalism poses great difficulty in defining when the use of force would be justified or necessary.'
 'Liberalism is often internally inconsistent, limiting its applicability for use as a guide.'
 'A failure to address the importance of a wide range of actors in the decision-making processes of the international system.'
 'Liberalist influence merely reflects Western dominance, potentially undermining its relevance in the future.']",2,0.999999998673337,1.1032560307060907e-09,1.3176514250538755e-10,7.052879840644207e-11,7.433680661319048e-12,,7.433680661319048e-12,,3.511422108164825e-12,,,,,,,,,,2.734698287533009e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these statements is not applicable to the development of peace studies in the twentieth century?,security_studies,"['Within peace studies, one of the later developments was a major interest in conflict prevention, conflict resolution, and peacekeeping.'
 ""At the height of the Cold War, peace studies was frequently labelled 'appeasement studies' and was bitterly opposed by critics.""
 'By the 1970s, prominent peace researchers were calling for a broadening in the remit of the field but were largely unsuccessful in their attempts.'
 'Peace studies sought to provide a more global and non-state centric view of major issues of conflict.']",2,0.9999999994711563,3.1608814518843583e-10,1.1628233021283948e-10,7.991959886811613e-11,5.7893563242811705e-12,,3.511422110677765e-12,,,,,,,,,,,,1.463778513000904e-12,,,,,5.7893563242811705e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the contemporary context, how can peace studies best be defined?",security_studies,"['Following the expansion of peace studies in the decline of the Cold War, the field has emerged as an independent and autonomous area of study that addresses issues surrounding conflict resolution, economic security and the cessation of violence at both an international and sub-national level. As a field of research, peace studies are best defined by their distinction from development studies and international relations.'
 ""Peace studies are best defined by its research agenda that focuses on the search for non-violent measures by which to end conflict. Peace researchers adopt a 'top-down' approach to conflict resolution that prioritises the issues surrounding violence and the use of force, focusing on instigating agents in an attempt to secure that actor as the referent object to security.""
 'Peace studies cannot be defined as a specific academic approach due to the shifting nature of its research agenda and the diversity of interests addressed by peace researchers. However, following the Cold War the success of the field has been such that it boasts a number of research institutes and attracts global and interdisciplinary attention.'
 'Peace studies is defined by a concern with the underlying causes of phenomena in IR, a global outlook, an interdisciplinary approach, the search for non-violent transformations, an analytical and normative approach, and the adoption of multi-level analysis that links theory and practice within research.']",3,7.991959887015418e-11,,0.9999999997531296,3.775134541473942e-11,4.27778786579034e-11,,1.2256067434992475e-11,,3.775134541473942e-11,,,,,,,3.3315445396908705e-11,,,3.0988191364192132e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What role does 'Information' play in the economic science of decision making?,security_studies,"[""Information is not important to decision making in economic theory; rather, it is an actor's perceptions of situations that will inform their decision making process.""
 'Information has no special significance to economic decision making, which is guided more by external forces that coerce actors than their own rational choices.'
 ""Information plays a significant role in decision making because, although theory asserts that actors act in their own best interest, 'rational action' depends on the information available to them at the time.""
 'Information has become an important resource in the 21st century and can be sold and traded as a market commodity.']",2,0.9999999996749294,2.461696950970926e-10,7.052879848692746e-11,5.789356326744676e-12,1.4637785136237755e-12,,4.752193061140965e-13,,4.1937956569409086e-13,,,,,,,,,,,,,,,2.2447770542509278e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following are frequently cited criticisms of HM?,security_studies,"['HM pays insufficient attention to the role of the labourer, instead focusing on the capitalist as the source of power and most important actor. HM can also allude to capitalist power structures, to the detriment of supporting the human security of workers.'
 'HM too often accuses capitalism of acting solely in self-serving ways, and explains everything in terms of class struggle, to the detriment of wider analysis. Some versions of HM claim to have uncovered objective laws of history which are widely disputed in their accuracy.'
 'HM is inevitably reductionist and oversimplifies the complexities of capitalism, recognising only its negative aspects and harmful effects.'
 'All of these options.']",1,2.3355930302307473e-09,,0.9999999969833351,2.789468082635204e-10,6.224144600073264e-11,,1.78324728427244e-11,,2.789468082635204e-10,,,,,,,2.2897348372452033e-11,2.0206839016089346e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the referent object in contemporary cyber-security?,security_studies,"['Digitalised sensitive information'
 'Critical Information Infrastructures' 'Government IT systems'
 'Telecommunication networks']",1,5.492788337134587e-11,,7.433680653648722e-12,0.9999999996610927,7.052879833366806e-11,,1.573710206726766e-11,,1.3176514236942778e-10,,,,,,,,,,,1.573710206726766e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2777878582058966e-11,,,,,,,,,,,,,,,
Which of the following phrases is not likely to indicate legitimacy in the new terminology of RMA?,security_studies,"['Surgical strike.' 'Indiscriminate attack.' 'Smart bomb.'
 'Precision target.']",1,,,2.4133627704069404e-12,0.9999999999503579,2.594609496743078e-11,,7.835041780433957e-13,,1.0815941550893579e-11,,,,,,,,,,,1.6586783579339687e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.023978677537595e-12,,,,,,,,,,,,,,
Which of the following did not emerge as a trend of the defence trade in the 20th century?,security_studies,"['The arms trade shifts from being a private to a government controlled enterprise.'
 'An increase in the defence trade.' 'A decrease in the arms trade.'
 'A growth in the number and variety of weapons traded.']",2,0.9999999999964867,3.0988191386999743e-12,1.5428112031810085e-13,8.258073285497688e-14,1.3615261080800529e-13,,9.862862046510905e-15,,2.6810038677628985e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.658886145070546e-15,,,,,,,,,,,,,
Which of these statements concerning the study of identity is not applicable to social constructivism?,security_studies,"['Identity defines actors, and tells us who they are, what their preferences and interests are, and how those preferences might inform their actions.'
 'Identity is of fundamental importance to the social constructivist perspective because it is the basest principle in defining behaviour; it is a naturally bestowed quality comprised of certain unalterable behavioural characteristics.'
 'The identities, interests and behaviour of political agents are socially constructed by shared ideas, collective meaning, and interpretations and assumptions about the world.'
 'Actors form their identity through interaction, which in turn defines the types of relationship formed between these actors.']",1,4.75219305950152e-13,,5.384940214049056e-13,0.999999999982424,9.545034916273396e-12,,2.1297851694904375e-12,,1.0060392785911356e-12,,,,,,,,,,3.7010116760462796e-13,3.511422110960562e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these are characteristics of realist theory?,security_studies,"['The international system is anarchic.'
 'States assess one another in terms of their power and capabilities rather than their internal variations.'
 'States are unitary and rational actors; sovereign states will act in a way suited to achieving their goals.'
 'All of these options.']",3,7.991959890195709e-11,,0.9999999997882139,3.775134542976205e-11,1.7832472901991958e-11,,1.8795288158904113e-12,,7.052879848678036e-11,,,,,,,2.7346982906480623e-12,,1.1399918526509159e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these statements defines the Copenhagen School's view of security?,security_studies,"['Security is a socially constructed concept, relative to the society in which it exists, and what will constitute an existential threat is accordingly subjective.'
 'Security is best defined using the traditional paradigm, with the state as the referent object to be secured using extraordinary measures where possible.'
 'To best understand security one must adopt a constructivist approach, threats exist only when articulated by a wider audience and may warrant the implementation of emergency measures.'
 'Security exists as an empirically verifiable and independent condition that changes only slightly, if at all, with regards to the social context in which it is applied.']",0,0.9999999999709764,1.3887943864486075e-11,4.193795658235217e-13,1.4637785140755337e-12,8.878265478154118e-13,,,6.431393941230667e-14,1.2256067443677697e-11,,,,,,,,,,,,,,,,4.420228103489053e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these best describes the concept of hegemonic masculinity?,security_studies,"['The inherent promotion of feminine characteristics in society.'
 ""Social dominance of men over women that results from the designation of 'masculine' characteristics as more valued than 'feminine' characteristics.""
 'All of these options.'
 'The acknowledgement that gender identity exists in many forms and is not binary.']",1,1.8795288161821625e-12,,1.4637785138479389e-12,0.9999999999647635,2.2897348452107345e-11,,1.4637785138479389e-12,,2.4133627713749186e-12,,,,,,,,,,6.101936676446572e-13,4.508755241438617e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How do institutional constraints affect behaviour?,security_studies,"['Institutional constraints limit the amount of resources to be spent on some good and force actors to choose how to manage the limited wealth available to them.'
 ""Institutions are the social norms and expectations that affect an actor's goals and ambitions.""
 'Institutional constraints refer to tools of the state such as schools, prisons, and hospitals; the provision of resources for these institutions makes demands on political leaders.'
 'Institutions are humanly devised constrains that structure human interaction, they are man-made rules that guide decision making and govern behaviour.']",3,3.3982677463979343e-09,,0.9999999792976578,6.34879997948025e-09,3.1608813863227643e-10,,6.224144489025707e-11,,1.0467401569589626e-08,,,,,,,9.056076794875595e-11,,,1.8982568191207417e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following policies is not true of economic policy?,security_studies,"['Economic policies must take into account the incentives of not only the leaders, but the populations intended to influence.'
 'Policymakers can incentivize security-promoting behaviours in others through the use of sanctions and aid.'
 'Trade policies can entice leaders to change behaviours in exchange for access to markets or trade preferences, and advance security.'
 'Concern with poverty is a humanitarian issue that has no direct link to economic science, although it might be alleviated through aid.']",3,2.172439933414516e-10,,0.9999999994960562,4.277787865691401e-11,1.9171715122893948e-10,,9.54503491552732e-12,,2.940077737031815e-11,,,,,,,1.0160636777756331e-11,,,3.098819136347542e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not an assertion made in the realist case against humanitarian inventions?,security_studies,"['Armed force should only ever be used in the national interest and that humanitarian intervention is therefore imprudent.'
 'Foreign intervention reduces the proportion of wars that end in outright victory, it leaves behind an unstable peace that is likely to reignite.'
 'Foreign intervention tends to prolong wars; it is inappropriate and does not work.'
 'Humanitarian intervention prioritises the human as the referent object of security, undermining the state-centric approach of realism.']",3,1.1861119795926253e-08,,0.9999999750385705,6.34879992580236e-09,1.4166087441946198e-09,,1.4026326008070903e-10,,4.944450353778554e-09,,,,,,,1.9171714563104108e-10,,,5.847042588393628e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Why, in the contemporary studies of security, is the subject of energy security so important?",security_studies,"['There exists an array of contemporary challenges to energy security, ranging from resource scarcity concerns to dangers of political instability.'
 'The existence of reliable supplies of energy determines the ability of a nation to achieve economic development.'
 'Energy security encompasses a broad range of issues that are both contemporary and fundamental to security, ranging from the local and individual to the global scale.'
 'All of these options.']",3,9.736200301246984e-10,,0.9999999988487687,3.77513453971825e-11,5.7893563217363655e-12,,4.752193057029893e-13,,1.3176514254176543e-10,,,,,,,1.29178000322536e-12,,5.384940211248336e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is a legitimate threat to societal security?,security_studies,"['Political policies designed to alter demographic characteristics of a state.'
 'All of these options.'
 'Legislation that criminalises certain cultural behaviours or practice.'
 'The use of military force to conduct ethnic-cleansing through displacement and killing.']",1,2.7346982905779983e-12,,2.0206839082730583e-11,0.9999999998643313,7.433680669596187e-12,,1.2917800043070749e-12,,1.0261879627897348e-10,,,,,,,,6.914400104376723e-13,,,6.914400104376723e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements best describes the orientation of military security within the traditional conception of security studies?,security_studies,"['Strategic studies are the central concern of international relations, within strategic studies, the subset of security studies focuses on military security.'
 'Military security is a central concern within international relations and dominates the scholarship. Within international relations, strategic studies form a subset of academic interest, within which security studies feature occasionally.'
 'Strategic studies are best conceptualized as a subset of international relations, and within strategic studies, military security is one of the dominant concerns. Security studies are a subset of strategic studies.'
 'Military security is the central concern of strategic studies; and strategic studies are a subset of security studies. Military security is one of the central concerns of security studies, and security studies is a subset of international relations.']",3,0.9999999998186817,1.6918979222005886e-10,4.508755241190109e-12,3.098819137962566e-12,3.511422112516158e-12,,6.101936676110254e-13,,2.2447770544709685e-13,,,,,,,,,,1.748234127842712e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these statements cannot be applied to the initial development of peace studies?,security_studies,"['Mathematicians and natural scientists entered the field, which was otherwise a social-sciences area of study, adding to the interdisciplinary nature of the field.'
 'Now of fundamental importance to peace studies as a field of research, the creation of journals was not a prominent feature of the peace studies until late in the twentieth century.'
 'Most early work was carried out in North America and Scandinavia.'
 'The establishment of research institutes across the world has been one of the lasting successes of peace studies.']",1,6.22414458045269e-11,,1.0261879561705275e-10,0.9999999987139483,1.9171715006812226e-10,,2.5946094805785507e-11,,8.592166560566661e-10,,,,,,,,,,6.560200123406439e-12,3.775134518528782e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Since the end of the Cold War, how has the use of coercive diplomacy by Western powers changed?",security_studies,"['Coercive diplomacy has proven a successful policy tool and one that is integral to conflict management. The successes of the past policy initiatives in the post-9/11 community have reinforced the trend toward coercive diplomacy by increasing American political will to counter mass casualty terrorism in failing states.'
 'The favourable geo-political environment, characterized by an overwhelmingly Western military superiority and a low risk of hostile great power intervention, has generated pressures and incentives for Western policymakers to promote their policy agenda, and to manage armed conflicts from weak states and failing states.'
 'The demise of the ideological bipolar division of international society in the Cold War, rather than resulting in a reduction of hostilities, has left an unstable legacy where a policy of force and mass retaliation continues to pose a very real threat. Risk of uncontrollable escalation still remains but in a different form; mass casualty terrorism, contagion from failing states and non-state actors seeking to acquire WMD are the primary concern of states and require responses in the form of military intervention.'
 'The hostile geopolitical environment has encouraged states to pursue military strategies in order to secure their interests. The use of violence rather than diplomacy or incentives has become the primary response to threats, whether these are posed by other states, resource scarcity, pandemic diseases, or other non-traditional threats.']",1,8.939668808912471e-06,,2.8452977759171096e-08,0.9999873049073681,9.055959121540644e-11,,,,3.726608394940218e-06,,,,,,,,,,,,,,,,1.0923571829922174e-10,,,,,,,,,6.625481228421034e-11,,,,,,,,,,,,,,,,,,,,,,9.64001830506666e-11,,,,,,,,,,,,
To what extent and to what effect has the environment been securitized?,security_studies,"['The securitization of environmental security concerns has raised the profile of environmental security issues among both foreign and domestic security policymakers and agencies. It is now uniformly recognized that environmental change can be considered as an issue of high security politics.'
 ""Environmental security has led to a 'trading off' of military security for environmental security with the allocation of resources committed to solving environmental problems. A particular emphasis has been placed on environmental change as the cause of violent conflict and addressing environmental threats from other factors than domestic causes.""
 ""The environment has been 'securitized' in the sense that environmental security has been used to make them matters of 'high politics'. This has to some degree raised the profile of critical issues among policymakers and agencies so that the environment can be considered an issue of security. But whilst the issue has been broadened there has been little change in policy and action in terms of the referent object of environmental security.""
 ""The national security perspective on environmental issues has undermined the utility of the concept of environmental security. The militarization of environmental problems has decreased the ability of policymakers to 'capture' the critical nature of environmental problems and the environmental dimensions to social vulnerability. The reconciliation of environmental security with national security, and global levels of international change cannot be made without trading in the security interests of the state.""]",2,0.999999999623328,3.581747928705888e-10,8.42346375075921e-12,7.433680669078623e-12,1.6586783581837999e-12,,3.7010116769628593e-13,,4.752193060678432e-13,,,,,,,,,,1.361526107490079e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not a common criticism of Securitization?,security_studies,"['A loose and broad conceptualization of security can lead to vagueness and a lack of conceptual and analytical coherence.'
 'When the securitizing actor is not the state, it can be unclear what would constitute an extraordinary measure.'
 'The model relies on a definition of distinctive political and security realms, which are not always clearly defined.'
 'The theory of securitization lacks coherence in terms of its employment as a tool for analytical studies in security.']",3,1.3440409359979392e-08,,0.9999999580236868,2.2159488798715118e-08,1.2501528114007036e-09,,4.2777876808171196e-11,,4.9444502844646414e-09,,,,,,,9.056076591355337e-11,,,,,,,,,,,,,,,,,4.8473684930662454e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Which of these statements characterizes the traditional concept of national security, as opposed to human security?",security_studies,"['All of these options.'
 'In the national security approach, real threats are only those posed to human life, human rights, or human dignity.'
 'The traditional interpretations of security and threats are important boundaries that define human security.'
 'The concept of national security is too narrow to be useful when analysing the broad threats that currently exist.']",3,7.888843603376079e-06,,0.9999392608371878,1.3708754622224802e-06,6.757850311697917e-09,,,,5.1441722206188635e-05,,,2.2220248741442733e-08,,,,,,,,,,,,,4.644598066904209e-09,,,,,,,4.098843407793364e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does Buzan's concept of 'societal security' mark a departure from traditional understandings of security?,security_studies,"['Securing the sustainable development of the state was dependent on societal security as an independent interest that was not secondary or dependent on the other sectors, including the military.'
 'The end of the Cold War allowed security studies to move beyond the confines of the dominant realist and neorealist perspectives, with an emerging interest in other, non-military, conceptions of security. Those who wished to broaden the scope of security studies advocated the inclusion of resource, environment, and other referent points for analysis.'
 'Societal security referred to the sustainable development of traditional patterns of military capabilities. Military threats could be subdivided to include the infrastructural strength, the technology, personnel, the economic base and the political base of the military security sector.'
 'Contemporary processes of globalization and societal conflict required the development of new conceptual tools beyond the state as the referent object. Security was dependent on factors beyond geographically conceived survival: survival of the state was superseded by survival of the nation (ethnic) state.']",1,2.9988862885754523e-09,,1.8925036038824336e-05,6.14405964485001e-06,4.89554728969649e-10,,,,0.9999749262860245,8.591953069151194e-10,,,,9.055851909604663e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8009712011619142e-10,,,,,,,,,,,,,,,,,
